"link","Node","relative_influence","Solution","LandUse","rank","cum_sum"
"Noise -* Biodiversity","Biodiversity",0.498838120781127,"source","Industrial",33,74.5093132128266
"Salmon -> Physical health","Biodiversity",0.484867587781587,"source","Industrial",34,74.9941808006082
"Toxics -* Physical health","Biodiversity",0.481804073428582,"source","Industrial",35,75.4759848740368
"Noise -* Social cohesion","Biodiversity",0.480529626752969,"source","Industrial",36,75.9565145007898
"Flooding -* Salmon","Biodiversity",0.479149757416934,"source","Industrial",37,76.4356642582067
"Transportation -> Toxics","Biodiversity",0.47721877924921,"source","Industrial",38,76.9128830374559
"Economic wellbeing -> Affordability","Biodiversity",0.466534621177864,"source","Industrial",39,77.3794176586338
"Residential -> Bacteria","Biodiversity",0.462297053626275,"source","Industrial",40,77.8417147122601
"Gray infrastructure -* Flooding","Biodiversity",0.453151850809119,"source","Industrial",41,78.2948665630692
"Water quality -> Local foods","Biodiversity",0.431112181504081,"source","Industrial",42,78.7259787445733
"Economic wellbeing -> Mental health","Biodiversity",0.430320975352489,"source","Industrial",43,79.1562997199258
"Flooding -> Sediment","Biodiversity",0.42250510318064,"source","Industrial",44,79.5788048231064
"Local foods -> Physical health","Biodiversity",0.395231365777909,"source","Industrial",45,79.9740361888843
"Flooding -* Air quality","Biodiversity",0.387809345940356,"source","Industrial",46,80.3618455348247
"Green infrastructure -* Noise","Biodiversity",0.383060476523737,"source","Industrial",47,80.7449060113484
"Physical health -> Economic wellbeing","Biodiversity",0.379770783810769,"source","Industrial",48,81.1246767951592
"Salmon -* Salmon","Biodiversity",0.375096304982234,"source","Industrial",49,81.4997731001414
"Industrial -> Noise","Biodiversity",0.372543317069752,"source","Industrial",50,81.8723164172111
"Sediment -* Water quality","Biodiversity",0.371653573835552,"source","Industrial",51,82.2439699910467
"Walkability -> Property value","Biodiversity",0.363377554342842,"source","Industrial",52,82.6073475453895
"Transportation -> Urban heat island","Biodiversity",0.362759765863313,"source","Industrial",53,82.9701073112528
"Industrial -> Urban heat island","Biodiversity",0.361756469488169,"source","Industrial",54,83.331863780741
"Sediment -* Sediment","Biodiversity",0.353647494678179,"source","Industrial",55,83.6855112754192
"Water quality -> Biodiversity","Biodiversity",0.353589844904465,"source","Industrial",56,84.0391011203237
"Property value -* Affordability","Biodiversity",0.33827373852816,"source","Industrial",57,84.3773748588518
"Property value -* Property value","Biodiversity",0.332684797174886,"source","Industrial",58,84.7100596560267
"Local jobs -> Economic wellbeing","Biodiversity",0.32910206485876,"source","Industrial",59,85.0391617208855
"Green infrastructure -> Access to nature","Biodiversity",0.328550350181021,"source","Industrial",60,85.3677120710665
"Urban heat island -* Biodiversity","Biodiversity",0.328025564825166,"source","Industrial",61,85.6957376358917
"Local foods -> Mental health","Biodiversity",0.321102241761736,"source","Industrial",62,86.0168398776534
"Transportation -> Noise","Biodiversity",0.319940193823714,"source","Industrial",63,86.3367800714771
"Green infrastructure -* Flooding","Biodiversity",0.313437240349157,"source","Industrial",64,86.6502173118263
"Local foods -> Affordability","Biodiversity",0.312297200106573,"source","Industrial",65,86.9625145119328
"Mental health -> Physical health","Biodiversity",0.299641768415489,"source","Industrial",66,87.2621562803483
"Walkability -> Air quality","Biodiversity",0.296981274968069,"source","Industrial",67,87.5591375553164
"Biodiversity -> Salmon","Biodiversity",0.288373941233644,"source","Industrial",68,87.84751149655
"Urban heat island -* Physical health","Biodiversity",0.285119784239828,"source","Industrial",69,88.1326312807899
"Bacteria -* Local foods","Biodiversity",0.273217630952494,"source","Industrial",70,88.4058489117424
"Social cohesion -> Mental health","Biodiversity",0.272395056373764,"source","Industrial",71,88.6782439681161
"Physical health -> Mental health","Biodiversity",0.270484762854019,"source","Industrial",72,88.9487287309701
"Climate mitigation -* Urban heat island","Biodiversity",0.268104434577701,"source","Industrial",73,89.2168331655478
"Industrial -> Local jobs","Biodiversity",0.267255089448007,"source","Industrial",74,89.4840882549959
"Industrial -* Air quality","Biodiversity",0.26195869655598,"source","Industrial",75,89.7460469515518
"Air quality -> Social cohesion","Biodiversity",0.261282646057659,"source","Industrial",76,90.0073295976095
"Climate mitigation -> Salmon","Biodiversity",0.257277897468646,"source","Industrial",77,90.2646074950781
"Transportation -* Air quality","Biodiversity",0.252254754279971,"source","Industrial",78,90.5168622493581
"Water quality -* Water quality","Biodiversity",0.250701380686954,"source","Industrial",79,90.7675636300451
"Access to nature -* Access to nature","Biodiversity",0.249439249906419,"source","Industrial",80,91.0170028799515
"Mental health -> Economic wellbeing","Biodiversity",0.237196112920893,"source","Industrial",81,91.2541989928724
"Gray infrastructure -* Sediment","Biodiversity",0.236129777139059,"source","Industrial",82,91.4903287700114
"Water quality -> Salmon","Biodiversity",0.23268683124417,"source","Industrial",83,91.7230156012556
"Access to nature -> Local foods","Biodiversity",0.232247531218162,"source","Industrial",84,91.9552631324738
"Industrial -> Water temperature","Biodiversity",0.231913044419474,"source","Industrial",85,92.1871761768932
"Mental health -* Mental health","Biodiversity",0.22793983128148,"source","Industrial",86,92.4151160081747
"Noise -* Mental health","Biodiversity",0.225165623351653,"source","Industrial",87,92.6402816315264
"Local foods -> Social cohesion","Biodiversity",0.219961784141918,"source","Industrial",88,92.8602434156683
"Gray infrastructure -* Gray infrastructure","Biodiversity",0.219900153981698,"source","Industrial",89,93.08014356965
"Access to nature -> Property value","Biodiversity",0.21893431102187,"source","Industrial",90,93.2990778806719
"Residential -* Residential","Biodiversity",0.216130969018351,"source","Industrial",91,93.5152088496902
"Green infrastructure -* Urban heat island","Biodiversity",0.214795916524121,"source","Industrial",92,93.7300047662143
"Walkability -> Physical health","Biodiversity",0.210821903481845,"source","Industrial",93,93.9408266696962
"Affordability -> Economic wellbeing","Biodiversity",0.208379150232351,"source","Industrial",94,94.1492058199285
"Gray infrastructure -> Local jobs","Biodiversity",0.207951579436783,"source","Industrial",95,94.3571573993653
"Water quality -> Physical health","Biodiversity",0.207299458684734,"source","Industrial",96,94.5644568580501
"Water temperature -* Water quality","Biodiversity",0.198705566788204,"source","Industrial",97,94.7631624248382
"Salmon -> Local foods","Biodiversity",0.196685429876262,"source","Industrial",98,94.9598478547145
"Physical health -* Physical health","Biodiversity",0.195617241945986,"source","Industrial",99,95.1554650966605
"Walkability -> Social cohesion","Biodiversity",0.194017408462169,"source","Industrial",100,95.3494825051227
"Industrial -> Flooding","Biodiversity",0.193480732469357,"source","Industrial",101,95.542963237592
"Biodiversity -> Local foods","Biodiversity",0.191589237981968,"source","Industrial",102,95.734552475574
"Noise -* Property value","Biodiversity",0.191478158894585,"source","Industrial",103,95.9260306344686
"Bacteria -* Water quality","Biodiversity",0.188620928235742,"source","Industrial",104,96.1146515627043
"Gray infrastructure -* Toxics","Biodiversity",0.186787068012665,"source","Industrial",105,96.301438630717
"Urban heat island -* Urban heat island","Biodiversity",0.183533980943221,"source","Industrial",106,96.4849726116602
"Access to nature -> Physical health","Biodiversity",0.181312041504226,"source","Industrial",107,96.6662846531644
"Green infrastructure -> Local jobs","Biodiversity",0.17632682821052,"source","Industrial",108,96.8426114813749
"Green infrastructure -> Climate mitigation","Biodiversity",0.171094527986175,"source","Industrial",109,97.0137060093611
"Residential -> Toxics","Biodiversity",0.166897832574259,"source","Industrial",110,97.1806038419354
"Residential -> Sediment","Biodiversity",0.160977294192759,"source","Industrial",111,97.3415811361281
"Local jobs -> Social cohesion","Biodiversity",0.158475428200461,"source","Industrial",112,97.5000565643286
"Climate mitigation -* Water temperature","Biodiversity",0.154199445246486,"source","Industrial",113,97.6542560095751
"Affordability -* Affordability","Biodiversity",0.145790942671229,"source","Industrial",114,97.8000469522463
"Economic wellbeing -* Economic wellbeing","Biodiversity",0.143092181627236,"source","Industrial",115,97.9431391338736
"Walkability -> Climate mitigation","Biodiversity",0.142698216854581,"source","Industrial",116,98.0858373507281
"Access to nature -> Mental health","Biodiversity",0.132503494839398,"source","Industrial",117,98.2183408455675
"Water quality -> Social cohesion","Biodiversity",0.130011920226763,"source","Industrial",118,98.3483527657943
"Local jobs -* Local jobs","Biodiversity",0.129659031950341,"source","Industrial",119,98.4780117977446
"Transportation -> Flooding","Biodiversity",0.127512060453277,"source","Industrial",120,98.6055238581979
"Access to nature -> Social cohesion","Biodiversity",0.126196930027164,"source","Industrial",121,98.7317207882251
"Noise -* Noise","Biodiversity",0.123271641585719,"source","Industrial",122,98.8549924298108
"Air quality -* Air quality","Biodiversity",0.118854017984104,"source","Industrial",123,98.9738464477949
"Industrial -* Property value","Biodiversity",0.117452500055206,"source","Industrial",124,99.0912989478501
"Salmon -> Biodiversity","Biodiversity",0.110195380104666,"source","Industrial",125,99.2014943279548
"Walkability -> Affordability","Biodiversity",0.107688275353189,"source","Industrial",126,99.309182603308
"Residential -> Nutrients","Biodiversity",0.104148251233332,"source","Industrial",127,99.4133308545413
"Local jobs -> Property value","Biodiversity",0.0979545872255602,"source","Industrial",128,99.5112854417669
"Transportation -> Water temperature","Biodiversity",0.0908657449801174,"source","Industrial",129,99.602151186747
"Property value -> Economic wellbeing","Biodiversity",0.0892307734147057,"source","Industrial",130,99.6913819601617
"Toxics -* Salmon","Biodiversity",0.0862072697521435,"source","Industrial",131,99.7775892299138
"Climate mitigation -* Climate mitigation","Biodiversity",0.0852853526465488,"source","Industrial",132,99.8628745825604
"Transportation -> Property value","Biodiversity",0.0692944600355389,"source","Industrial",133,99.9321690425959
"Bacteria -* Physical health","Biodiversity",0.0678309574040705,"source","Industrial",134,100
"Source control -* Source control","Physical health",21.300633497818,"source","Industrial",1,21.300633497818
"Toxics -* Toxics","Physical health",8.25660112610663,"source","Industrial",2,29.5572346239246
"Industrial -* Industrial","Physical health",7.04151393192659,"source","Industrial",3,36.5987485558512
"Source control -* Toxics","Physical health",4.32486087478552,"source","Industrial",4,40.9236094306367
"Flooding -* Flooding","Physical health",1.77808549732402,"source","Industrial",5,42.7016949279608
"Water temperature -* Water temperature","Physical health",1.56658931527585,"source","Industrial",6,44.2682842432366
"Local jobs -* Local jobs","Physical health",1.33636535122261,"source","Industrial",7,45.6046495944592
"Climate mitigation -> Salmon","Physical health",1.31530407719955,"source","Industrial",8,46.9199536716588
"Biodiversity -* Biodiversity","Physical health",1.25554875600094,"source","Industrial",9,48.1755024276597
"Bacteria -* Bacteria","Physical health",1.23738053546489,"source","Industrial",10,49.4128829631246
"Toxics -* Biodiversity","Physical health",1.19485384366876,"source","Industrial",11,50.6077368067934
"Walkability -* Noise","Physical health",1.16541338962701,"source","Industrial",12,51.7731501964204
"Industrial -> Sediment","Physical health",1.01549284559159,"source","Industrial",13,52.788643042012
"Air quality -> Physical health","Physical health",0.965157907430135,"source","Industrial",14,53.7538009494421
"Economic wellbeing -> Mental health","Physical health",0.948911108255266,"source","Industrial",15,54.7027120576974
"Industrial -> Toxics","Physical health",0.929508675933326,"source","Industrial",16,55.6322207336307
"Green infrastructure -* Sediment","Physical health",0.927309044568788,"source","Industrial",17,56.5595297781995
"Walkability -> Property value","Physical health",0.917931390729694,"source","Industrial",18,57.4774611689292
"Transportation -> Toxics","Physical health",0.769971224619903,"source","Industrial",19,58.2474323935491
"Toxics -* Physical health","Physical health",0.760547586461725,"source","Industrial",20,59.0079799800108
"Access to nature -> Local foods","Physical health",0.723397425153247,"source","Industrial",21,59.731377405164
"Physical health -> Economic wellbeing","Physical health",0.702727188096074,"source","Industrial",22,60.4341045932601
"Physical health -> Mental health","Physical health",0.690970017904417,"source","Industrial",23,61.1250746111645
"Green infrastructure -* Green infrastructure","Physical health",0.665191789586637,"source","Industrial",24,61.7902664007512
"Sediment -* Water quality","Physical health",0.656377637682384,"source","Industrial",25,62.4466440384336
"Property value -* Property value","Physical health",0.644619993280915,"source","Industrial",26,63.0912640317145
"Salmon -> Physical health","Physical health",0.640802118716476,"source","Industrial",27,63.7320661504309
"Air quality -* Air quality","Physical health",0.640189888999188,"source","Industrial",28,64.3722560394301
"Green infrastructure -* Toxics","Physical health",0.631403372127611,"source","Industrial",29,65.0036594115577
"Transportation -> Urban heat island","Physical health",0.625387713439822,"source","Industrial",30,65.6290471249976
"Transportation -> Flooding","Physical health",0.597312329509016,"source","Industrial",31,66.2263594545066
"Industrial -* Air quality","Physical health",0.59141521537822,"source","Industrial",32,66.8177746698848
"Flooding -* Salmon","Physical health",0.590565623472634,"source","Industrial",33,67.4083402933574
"Industrial -> Noise","Physical health",0.588946686469268,"source","Industrial",34,67.9972869798267
"Walkability -* Walkability","Physical health",0.584316183025095,"source","Industrial",35,68.5816031628518
"Gray infrastructure -* Flooding","Physical health",0.579622455116378,"source","Industrial",36,69.1612256179682
"Urban heat island -> Water temperature","Physical health",0.569429797928624,"source","Industrial",37,69.7306554158968
"Access to nature -* Affordability","Physical health",0.561425955399333,"source","Industrial",38,70.2920813712961
"Access to nature -> Property value","Physical health",0.55958343060876,"source","Industrial",39,70.8516648019049
"Noise -* Physical health","Physical health",0.544946801881673,"source","Industrial",40,71.3966116037866
"Nutrients -* Water quality","Physical health",0.539949412928685,"source","Industrial",41,71.9365610167153
"Bacteria -* Local foods","Physical health",0.531686344623771,"source","Industrial",42,72.468247361339
"Industrial -> Flooding","Physical health",0.516633673044487,"source","Industrial",43,72.9848810343835
"Toxics -* Water quality","Physical health",0.513542492277786,"source","Industrial",44,73.4984235266613
"Physical health -* Physical health","Physical health",0.510267039793246,"source","Industrial",45,74.0086905664545
"Local foods -> Physical health","Physical health",0.505829660711093,"source","Industrial",46,74.5145202271656
"Flooding -> Sediment","Physical health",0.503111833040652,"source","Industrial",47,75.0176320602063
"Flooding -* Property value","Physical health",0.503004379960354,"source","Industrial",48,75.5206364401666
"Access to nature -> Walkability","Physical health",0.494044567382868,"source","Industrial",49,76.0146810075495
"Affordability -* Affordability","Physical health",0.493368254172199,"source","Industrial",50,76.5080492617217
"Walkability -> Air quality","Physical health",0.49334954408202,"source","Industrial",51,77.0013988058037
"Local foods -* Local foods","Physical health",0.478937565162177,"source","Industrial",52,77.4803363709659
"Affordability -> Economic wellbeing","Physical health",0.468880718604898,"source","Industrial",53,77.9492170895708
"Nutrients -* Nutrients","Physical health",0.459619340121214,"source","Industrial",54,78.408836429692
"Water temperature -* Water quality","Physical health",0.458424366867086,"source","Industrial",55,78.8672607965591
"Water quality -* Water quality","Physical health",0.45662764380356,"source","Industrial",56,79.3238884403627
"Sediment -* Sediment","Physical health",0.445510031881866,"source","Industrial",57,79.7693984722445
"Local foods -> Affordability","Physical health",0.439124676317709,"source","Industrial",58,80.2085231485622
"Water quality -> Physical health","Physical health",0.417780447204782,"source","Industrial",59,80.626303595767
"Flooding -> Bacteria","Physical health",0.41588528002154,"source","Industrial",60,81.0421888757886
"Economic wellbeing -> Physical health","Physical health",0.411015739641433,"source","Industrial",61,81.45320461543
"Industrial -> Urban heat island","Physical health",0.408109086742508,"source","Industrial",62,81.8613137021725
"Bacteria -* Water quality","Physical health",0.403828033578821,"source","Industrial",63,82.2651417357513
"Local foods -> Mental health","Physical health",0.397681096753691,"source","Industrial",64,82.662822832505
"Local jobs -> Economic wellbeing","Physical health",0.395286150218516,"source","Industrial",65,83.0581089827235
"Transportation -> Property value","Physical health",0.394030906901689,"source","Industrial",66,83.4521398896252
"Economic wellbeing -* Economic wellbeing","Physical health",0.390483694873562,"source","Industrial",67,83.8426235844988
"Urban heat island -* Biodiversity","Physical health",0.387691060771159,"source","Industrial",68,84.2303146452699
"Green infrastructure -> Access to nature","Physical health",0.383127749519943,"source","Industrial",69,84.6134423947899
"Residential -> Toxics","Physical health",0.380583547351515,"source","Industrial",70,84.9940259421414
"Biodiversity -> Local foods","Physical health",0.377964346980256,"source","Industrial",71,85.3719902891217
"Residential -> Bacteria","Physical health",0.37749180037892,"source","Industrial",72,85.7494820895006
"Air quality -> Social cohesion","Physical health",0.373140773519438,"source","Industrial",73,86.12262286302
"Climate mitigation -* Urban heat island","Physical health",0.372045832406527,"source","Industrial",74,86.4946686954265
"Transportation -* Air quality","Physical health",0.370924617672989,"source","Industrial",75,86.8655933130995
"Salmon -* Salmon","Physical health",0.364583344904635,"source","Industrial",76,87.2301766580042
"Green infrastructure -* Noise","Physical health",0.361865103071553,"source","Industrial",77,87.5920417610757
"Economic wellbeing -> Affordability","Physical health",0.358488336822975,"source","Industrial",78,87.9505300978987
"Green infrastructure -* Urban heat island","Physical health",0.357849792532032,"source","Industrial",79,88.3083798904307
"Industrial -* Property value","Physical health",0.356168318833334,"source","Industrial",80,88.6645482092641
"Green infrastructure -> Air quality","Physical health",0.350902484252999,"source","Industrial",81,89.0154506935171
"Property value -* Affordability","Physical health",0.340405930437761,"source","Industrial",82,89.3558566239548
"Gray infrastructure -> Local jobs","Physical health",0.338113257506326,"source","Industrial",83,89.6939698814611
"Transportation -* Transportation","Physical health",0.33617632756065,"source","Industrial",84,90.0301462090218
"Gray infrastructure -* Toxics","Physical health",0.327562647589195,"source","Industrial",85,90.357708856611
"Climate mitigation -> Biodiversity","Physical health",0.324412006989652,"source","Industrial",86,90.6821208636006
"Urban heat island -* Physical health","Physical health",0.324009861384578,"source","Industrial",87,91.0061307249852
"Noise -* Mental health","Physical health",0.304579189792071,"source","Industrial",88,91.3107099147773
"Toxics -* Salmon","Physical health",0.302105320313121,"source","Industrial",89,91.6128152350904
"Mental health -> Physical health","Physical health",0.274294648232948,"source","Industrial",90,91.8871098833234
"Water quality -> Salmon","Physical health",0.267248899286865,"source","Industrial",91,92.1543587826102
"Local foods -> Social cohesion","Physical health",0.258224265654105,"source","Industrial",92,92.4125830482643
"Property value -> Economic wellbeing","Physical health",0.256493396674857,"source","Industrial",93,92.6690764449392
"Mental health -> Economic wellbeing","Physical health",0.254602319149629,"source","Industrial",94,92.9236787640888
"Noise -* Noise","Physical health",0.252632960532281,"source","Industrial",95,93.1763117246211
"Residential -> Sediment","Physical health",0.252216100217205,"source","Industrial",96,93.4285278248383
"Residential -* Residential","Physical health",0.249128459937457,"source","Industrial",97,93.6776562847758
"Green infrastructure -* Flooding","Physical health",0.238565446831274,"source","Industrial",98,93.916221731607
"Walkability -> Physical health","Physical health",0.232129843222138,"source","Industrial",99,94.1483515748292
"Biodiversity -> Salmon","Physical health",0.227069904855994,"source","Industrial",100,94.3754214796852
"Noise -* Social cohesion","Physical health",0.224782976522662,"source","Industrial",101,94.6002044562078
"Access to nature -> Mental health","Physical health",0.222344657441959,"source","Industrial",102,94.8225491136498
"Water quality -> Social cohesion","Physical health",0.220020142179907,"source","Industrial",103,95.0425692558297
"Green infrastructure -> Climate mitigation","Physical health",0.217179815536912,"source","Industrial",104,95.2597490713666
"Noise -* Biodiversity","Physical health",0.216346208702258,"source","Industrial",105,95.4760952800689
"Gray infrastructure -* Sediment","Physical health",0.216122950320272,"source","Industrial",106,95.6922182303891
"Social cohesion -> Mental health","Physical health",0.210971024967001,"source","Industrial",107,95.9031892553561
"Salmon -> Biodiversity","Physical health",0.20540519424131,"source","Industrial",108,96.1085944495974
"Transportation -> Noise","Physical health",0.196731645455039,"source","Industrial",109,96.3053260950525
"Salmon -> Local foods","Physical health",0.195102465769934,"source","Industrial",110,96.5004285608224
"Walkability -> Affordability","Physical health",0.193567478914404,"source","Industrial",111,96.6939960397368
"Water quality -> Local foods","Physical health",0.192229761255954,"source","Industrial",112,96.8862258009928
"Gray infrastructure -* Gray infrastructure","Physical health",0.191754694876317,"source","Industrial",113,97.0779804958691
"Industrial -> Local jobs","Physical health",0.189149028654136,"source","Industrial",114,97.2671295245232
"Transportation -> Water temperature","Physical health",0.178338784208268,"source","Industrial",115,97.4454683087315
"Access to nature -> Social cohesion","Physical health",0.176545024602526,"source","Industrial",116,97.622013333334
"Water quality -> Biodiversity","Physical health",0.167866340874045,"source","Industrial",117,97.7898796742081
"Walkability -> Climate mitigation","Physical health",0.16620815689937,"source","Industrial",118,97.9560878311074
"Climate mitigation -* Water temperature","Physical health",0.161427108829088,"source","Industrial",119,98.1175149399365
"Industrial -> Water temperature","Physical health",0.159252284571985,"source","Industrial",120,98.2767672245085
"Access to nature -* Access to nature","Physical health",0.155390293238041,"source","Industrial",121,98.4321575177466
"Residential -> Nutrients","Physical health",0.154524925814254,"source","Industrial",122,98.5866824435608
"Local jobs -> Property value","Physical health",0.151160346851296,"source","Industrial",123,98.7378427904121
"Flooding -* Air quality","Physical health",0.150181171092905,"source","Industrial",124,98.888023961505
"Access to nature -> Physical health","Physical health",0.149899671814926,"source","Industrial",125,99.0379236333199
"Climate mitigation -* Climate mitigation","Physical health",0.143232644380104,"source","Industrial",126,99.1811562777
"Noise -* Property value","Physical health",0.132282184352211,"source","Industrial",127,99.3134384620522
"Walkability -> Social cohesion","Physical health",0.122319845502971,"source","Industrial",128,99.4357583075552
"Local jobs -> Social cohesion","Physical health",0.114409317569703,"source","Industrial",129,99.5501676251249
"Social cohesion -* Social cohesion","Physical health",0.106558979961528,"source","Industrial",130,99.6567266050864
"Urban heat island -* Urban heat island","Physical health",0.0954401769552573,"source","Industrial",131,99.7521667820417
"Bacteria -* Physical health","Physical health",0.0946302091525158,"source","Industrial",132,99.8467969911942
"Mental health -* Mental health","Physical health",0.0906059487919655,"source","Industrial",133,99.9374029399862
"Green infrastructure -> Local jobs","Physical health",0.0625970600138514,"source","Industrial",134,100
"Residential -* Residential","Biodiversity",21.97820174,"gray","Residential",1,21.97820174
"Gray infrastructure -* Gray infrastructure","Biodiversity",17.76684885,"gray","Residential",2,39.74505059
"Gray infrastructure -* Flooding","Biodiversity",6.832322649,"gray","Residential",3,46.577373239
"Flooding -* Flooding","Biodiversity",6.375706218,"gray","Residential",4,52.953079457
"Gray infrastructure -* Toxics","Biodiversity",5.73447596,"gray","Residential",5,58.687555417
"Nutrients -* Nutrients","Biodiversity",2.831817345,"gray","Residential",6,61.519372762
"Residential -> Toxics","Biodiversity",2.638524473,"gray","Residential",7,64.157897235
"Residential -> Nutrients","Biodiversity",2.038128629,"gray","Residential",8,66.196025864
"Residential -> Sediment","Biodiversity",1.228599335,"gray","Residential",9,67.424625199
"Residential -> Bacteria","Biodiversity",1.193675165,"gray","Residential",10,68.618300364
"Noise -* Noise","Biodiversity",1.192960936,"gray","Residential",11,69.8112613
"Sediment -* Water quality","Biodiversity",0.947149572,"gray","Residential",12,70.758410872
"Nutrients -* Water quality","Biodiversity",0.915067624,"gray","Residential",13,71.673478496
"Gray infrastructure -* Sediment","Biodiversity",0.654882086,"gray","Residential",14,72.328360582
"Flooding -> Sediment","Biodiversity",0.653182271,"gray","Residential",15,72.981542853
"Flooding -> Bacteria","Biodiversity",0.635171578,"gray","Residential",16,73.616714431
"Water quality -> Social cohesion","Biodiversity",0.630340982,"gray","Residential",17,74.247055413
"Bacteria -* Physical health","Biodiversity",0.627418287,"gray","Residential",18,74.8744737
"Flooding -* Salmon","Biodiversity",0.603307318,"gray","Residential",19,75.477781018
"Source control -* Toxics","Biodiversity",0.576356694,"gray","Residential",20,76.054137712
"Salmon -> Biodiversity","Biodiversity",0.569478528,"gray","Residential",21,76.62361624
"Local foods -> Affordability","Biodiversity",0.513687377,"gray","Residential",22,77.137303617
"Transportation -* Air quality","Biodiversity",0.500250453,"gray","Residential",23,77.63755407
"Air quality -> Social cohesion","Biodiversity",0.476526424,"gray","Residential",24,78.114080494
"Transportation -* Transportation","Biodiversity",0.453817237,"gray","Residential",25,78.567897731
"Green infrastructure -* Urban heat island","Biodiversity",0.412866672,"gray","Residential",26,78.980764403
"Affordability -* Affordability","Biodiversity",0.40789152,"gray","Residential",27,79.388655923
"Sediment -* Sediment","Biodiversity",0.40325183,"gray","Residential",28,79.791907753
"Biodiversity -* Biodiversity","Biodiversity",0.398101859,"gray","Residential",29,80.190009612
"Access to nature -> Physical health","Biodiversity",0.396608787,"gray","Residential",30,80.586618399
"Toxics -* Water quality","Biodiversity",0.367077218,"gray","Residential",31,80.953695617
"Climate mitigation -* Climate mitigation","Biodiversity",0.357505574,"gray","Residential",32,81.311201191
"Water quality -> Physical health","Biodiversity",0.353049942,"gray","Residential",33,81.664251133
"Water quality -> Salmon","Biodiversity",0.353019733,"gray","Residential",34,82.017270866
"Transportation -> Water temperature","Biodiversity",0.341203336,"gray","Residential",35,82.358474202
"Industrial -> Urban heat island","Biodiversity",0.339408213,"gray","Residential",36,82.697882415
"Toxics -* Toxics","Biodiversity",0.335349222,"gray","Residential",37,83.033231637
"Green infrastructure -* Green infrastructure","Biodiversity",0.325514975,"gray","Residential",38,83.358746612
"Economic wellbeing -> Physical health","Biodiversity",0.324097403,"gray","Residential",39,83.682844015
"Green infrastructure -* Sediment","Biodiversity",0.310686799,"gray","Residential",40,83.993530814
"Industrial -* Property value","Biodiversity",0.308992265,"gray","Residential",41,84.302523079
"Property value -> Economic wellbeing","Biodiversity",0.303861852,"gray","Residential",42,84.606384931
"Access to nature -> Local foods","Biodiversity",0.298575237,"gray","Residential",43,84.904960168
"Physical health -> Mental health","Biodiversity",0.293779685,"gray","Residential",44,85.198739853
"Transportation -> Flooding","Biodiversity",0.290123654,"gray","Residential",45,85.488863507
"Local foods -> Social cohesion","Biodiversity",0.289184247,"gray","Residential",46,85.778047754
"Climate mitigation -* Urban heat island","Biodiversity",0.283730528,"gray","Residential",47,86.061778282
"Urban heat island -* Urban heat island","Biodiversity",0.282750389,"gray","Residential",48,86.344528671
"Economic wellbeing -* Economic wellbeing","Biodiversity",0.273203325,"gray","Residential",49,86.617731996
"Water quality -> Biodiversity","Biodiversity",0.268499505,"gray","Residential",50,86.886231501
"Gray infrastructure -> Local jobs","Biodiversity",0.263670959,"gray","Residential",51,87.14990246
"Green infrastructure -* Toxics","Biodiversity",0.253396942,"gray","Residential",52,87.403299402
"Flooding -* Air quality","Biodiversity",0.248548064,"gray","Residential",53,87.651847466
"Urban heat island -* Biodiversity","Biodiversity",0.244016671,"gray","Residential",54,87.895864137
"Air quality -> Physical health","Biodiversity",0.242341188,"gray","Residential",55,88.138205325
"Industrial -> Toxics","Biodiversity",0.241951287,"gray","Residential",56,88.380156612
"Walkability -> Physical health","Biodiversity",0.2393163,"gray","Residential",57,88.619472912
"Industrial -> Flooding","Biodiversity",0.237207936,"gray","Residential",58,88.856680848
"Access to nature -* Access to nature","Biodiversity",0.236302835,"gray","Residential",59,89.092983683
"Industrial -> Water temperature","Biodiversity",0.232653893,"gray","Residential",60,89.325637576
"Industrial -* Industrial","Biodiversity",0.232484754,"gray","Residential",61,89.55812233
"Economic wellbeing -> Mental health","Biodiversity",0.219671086,"gray","Residential",62,89.777793416
"Walkability -> Air quality","Biodiversity",0.217679423,"gray","Residential",63,89.995472839
"Physical health -> Economic wellbeing","Biodiversity",0.212790561,"gray","Residential",64,90.2082634
"Access to nature -> Property value","Biodiversity",0.211607574,"gray","Residential",65,90.419870974
"Transportation -> Urban heat island","Biodiversity",0.208673443,"gray","Residential",66,90.628544417
"Water quality -* Water quality","Biodiversity",0.207593973,"gray","Residential",67,90.83613839
"Walkability -> Property value","Biodiversity",0.207144285,"gray","Residential",68,91.043282675
"Source control -* Source control","Biodiversity",0.206898918,"gray","Residential",69,91.250181593
"Local foods -* Local foods","Biodiversity",0.205980366,"gray","Residential",70,91.456161959
"Transportation -> Property value","Biodiversity",0.199041011,"gray","Residential",71,91.65520297
"Flooding -* Property value","Biodiversity",0.198537089,"gray","Residential",72,91.853740059
"Noise -* Physical health","Biodiversity",0.197862927,"gray","Residential",73,92.051602986
"Industrial -> Sediment","Biodiversity",0.197396462,"gray","Residential",74,92.248999448
"Water quality -> Local foods","Biodiversity",0.197186735,"gray","Residential",75,92.446186183
"Walkability -* Noise","Biodiversity",0.197063304,"gray","Residential",76,92.643249487
"Industrial -> Noise","Biodiversity",0.195811638,"gray","Residential",77,92.839061125
"Green infrastructure -> Access to nature","Biodiversity",0.19474318,"gray","Residential",78,93.033804305
