"Link","ModelName","LandUse","Solution","Node","difference","difference_perc","Type"
"Green infrastructure->Air quality","Sims_Mod_84","Transportation","source","Economic wellbeing",0.028,2.8,"human"
"Green infrastructure-*Urban heat island","Sims_Mod_85","Transportation","source","Economic wellbeing",0.048,4.8,"human"
"Toxics-*Salmon","Sims_Mod_86","Transportation","source","Economic wellbeing",0.01,1,"human"
"Noise-*Mental health","Sims_Mod_87","Transportation","source","Economic wellbeing",0.056,5.6,"human"
"Urban heat island->Water temperature","Sims_Mod_88","Transportation","source","Economic wellbeing",0.05,5,"human"
"Economic wellbeing->Mental health","Sims_Mod_89","Transportation","source","Economic wellbeing",0.0860000000000001,8.60000000000001,"human"
"Biodiversity->Local foods","Sims_Mod_90","Transportation","source","Economic wellbeing",0.016,1.6,"human"
"Local jobs->Social cohesion","Sims_Mod_91","Transportation","source","Economic wellbeing",0.054,5.4,"human"
"Access to nature->Local foods","Sims_Mod_92","Transportation","source","Economic wellbeing",0.026,2.6,"human"
"Local foods->Mental health","Sims_Mod_93","Transportation","source","Economic wellbeing",0.046,4.6,"human"
"Noise-*Social cohesion","Sims_Mod_94","Transportation","source","Economic wellbeing",0.052,5.2,"human"
"Industrial-*Air quality","Sims_Mod_95","Transportation","source","Economic wellbeing",0.0740000000000001,7.40000000000001,"human"
"Industrial->Local jobs","Sims_Mod_96","Transportation","source","Economic wellbeing",0.022,2.2,"human"
"Climate mitigation-*Urban heat island","Sims_Mod_97","Transportation","source","Economic wellbeing",0.05,5,"human"
"Industrial->Urban heat island","Sims_Mod_98","Transportation","source","Economic wellbeing",0.05,5,"human"
"Transportation->Urban heat island","Sims_Mod_99","Transportation","source","Economic wellbeing",0.104,10.4,"human"
"Green infrastructure-*Sediment","Sims_Mod_100","Transportation","source","Economic wellbeing",0.022,2.2,"human"
"Physical health->Mental health","Sims_Mod_101","Transportation","source","Economic wellbeing",0.028,2.8,"human"
"Salmon->Biodiversity","Sims_Mod_102","Transportation","source","Economic wellbeing",0.038,3.8,"human"
"Physical health->Economic wellbeing","Sims_Mod_103","Transportation","source","Economic wellbeing",0.024,2.4,"human"
"Economic wellbeing->Affordability","Sims_Mod_104","Transportation","source","Economic wellbeing",0.032,3.2,"human"
"Mental health->Economic wellbeing","Sims_Mod_105","Transportation","source","Economic wellbeing",0.016,1.6,"human"
"Residential->Toxics","Sims_Mod_1","Transportation","gray","Economic wellbeing",-0.072,-7.2,"human"
"Industrial->Toxics","Sims_Mod_2","Transportation","gray","Economic wellbeing",-0.046,-4.6,"human"
"Transportation->Toxics","Sims_Mod_3","Transportation","gray","Economic wellbeing",0.148,14.8,"human"
"Transportation->Water temperature","Sims_Mod_4","Transportation","gray","Economic wellbeing",0.014,1.4,"human"
"Transportation->Flooding","Sims_Mod_5","Transportation","gray","Economic wellbeing",0.342,34.2,"human"
"Residential->Nutrients","Sims_Mod_6","Transportation","gray","Economic wellbeing",-0.026,-2.6,"human"
"Residential->Sediment","Sims_Mod_7","Transportation","gray","Economic wellbeing",-0.04,-4,"human"
"Residential->Bacteria","Sims_Mod_8","Transportation","gray","Economic wellbeing",-0.054,-5.4,"human"
"Industrial->Sediment","Sims_Mod_9","Transportation","gray","Economic wellbeing",-0.00199999999999997,-0.199999999999997,"human"
"Industrial->Flooding","Sims_Mod_10","Transportation","gray","Economic wellbeing",-0.00399999999999998,-0.399999999999998,"human"
"Flooding->Bacteria","Sims_Mod_11","Transportation","gray","Economic wellbeing",-0.058,-5.8,"human"
"Flooding-*Salmon","Sims_Mod_12","Transportation","gray","Economic wellbeing",0.026,2.6,"human"
"Water quality->Salmon","Sims_Mod_13","Transportation","gray","Economic wellbeing",-0.054,-5.4,"human"
"Air quality->Physical health","Sims_Mod_14","Transportation","gray","Economic wellbeing",0.00800000000000001,0.800000000000001,"human"
"Urban heat island-*Physical health","Sims_Mod_15","Transportation","gray","Economic wellbeing",-0.048,-4.8,"human"
"Nutrients-*Water quality","Sims_Mod_16","Transportation","gray","Economic wellbeing",0.004,0.4,"human"
"Flooding->Sediment","Sims_Mod_17","Transportation","gray","Economic wellbeing",0.00600000000000001,0.600000000000001,"human"
"Sediment-*Water quality","Sims_Mod_18","Transportation","gray","Economic wellbeing",-0.186,-18.6,"human"
"Mental health->Physical health","Sims_Mod_19","Transportation","gray","Economic wellbeing",-0.052,-5.2,"human"
"Water quality->Physical health","Sims_Mod_20","Transportation","gray","Economic wellbeing",-0.014,-1.4,"human"
"Social cohesion->Mental health","Sims_Mod_21","Transportation","gray","Economic wellbeing",-0.00999999999999998,-0.999999999999998,"human"
"Toxics-*Physical health","Sims_Mod_22","Transportation","gray","Economic wellbeing",0.034,3.4,"human"
"Biodiversity->Salmon","Sims_Mod_23","Transportation","gray","Economic wellbeing",0.016,1.6,"human"
"Urban heat island-*Biodiversity","Sims_Mod_24","Transportation","gray","Economic wellbeing",-0.022,-2.2,"human"
"Bacteria-*Physical health","Sims_Mod_25","Transportation","gray","Economic wellbeing",-0.014,-1.4,"human"
"Air quality->Social cohesion","Sims_Mod_26","Transportation","gray","Economic wellbeing",0.028,2.8,"human"
"Access to nature->Social cohesion","Sims_Mod_27","Transportation","gray","Economic wellbeing",-0.032,-3.2,"human"
"Transportation->Noise","Sims_Mod_28","Transportation","gray","Economic wellbeing",0.02,2,"human"
"Water quality->Biodiversity","Sims_Mod_29","Transportation","gray","Economic wellbeing",-0.07,-7,"human"
"Noise-*Biodiversity","Sims_Mod_30","Transportation","gray","Economic wellbeing",0.032,3.2,"human"
"Salmon->Physical health","Sims_Mod_31","Transportation","gray","Economic wellbeing",-0.024,-2.4,"human"
"Climate mitigation->Salmon","Sims_Mod_32","Transportation","gray","Economic wellbeing",-0.00799999999999998,-0.799999999999998,"human"
"Climate mitigation-*Water temperature","Sims_Mod_33","Transportation","gray","Economic wellbeing",-0.022,-2.2,"human"
"Climate mitigation->Biodiversity","Sims_Mod_34","Transportation","gray","Economic wellbeing",-0.064,-6.4,"human"
"Access to nature->Physical health","Sims_Mod_35","Transportation","gray","Economic wellbeing",-0.042,-4.2,"human"
"Flooding-*Air quality","Sims_Mod_36","Transportation","gray","Economic wellbeing",-0.066,-6.6,"human"
"Industrial->Noise","Sims_Mod_37","Transportation","gray","Economic wellbeing",-0.044,-4.4,"human"
"Transportation-*Air quality","Sims_Mod_38","Transportation","gray","Economic wellbeing",0.03,3,"human"
"Economic wellbeing->Physical health","Sims_Mod_39","Transportation","gray","Economic wellbeing",-0.056,-5.6,"human"
"Affordability->Economic wellbeing","Sims_Mod_40","Transportation","gray","Economic wellbeing",-0.036,-3.6,"human"
"Access to nature-*Affordability","Sims_Mod_41","Transportation","gray","Economic wellbeing",-0.024,-2.4,"human"
"Local foods->Social cohesion","Sims_Mod_42","Transportation","gray","Economic wellbeing",-0.014,-1.4,"human"
"Salmon->Local foods","Sims_Mod_43","Transportation","gray","Economic wellbeing",-0.014,-1.4,"human"
"Water quality->Local foods","Sims_Mod_44","Transportation","gray","Economic wellbeing",-0.014,-1.4,"human"
"Toxics-*Water quality","Sims_Mod_45","Transportation","gray","Economic wellbeing",-0.00199999999999997,-0.199999999999997,"human"
"Local foods->Physical health","Sims_Mod_46","Transportation","gray","Economic wellbeing",-0.00999999999999998,-0.999999999999998,"human"
"Water quality->Social cohesion","Sims_Mod_47","Transportation","gray","Economic wellbeing",-0.022,-2.2,"human"
"Local jobs->Economic wellbeing","Sims_Mod_48","Transportation","gray","Economic wellbeing",-0.044,-4.4,"human"
"Walkability->Climate mitigation","Sims_Mod_49","Transportation","gray","Economic wellbeing",-0.044,-4.4,"human"
"Walkability->Affordability","Sims_Mod_50","Transportation","gray","Economic wellbeing",-0.06,-6,"human"
"Access to nature->Walkability","Sims_Mod_51","Transportation","gray","Economic wellbeing",-0.034,-3.4,"human"
"Walkability->Social cohesion","Sims_Mod_52","Transportation","gray","Economic wellbeing",-0.022,-2.2,"human"
"Walkability->Air quality","Sims_Mod_53","Transportation","gray","Economic wellbeing",-0.014,-1.4,"human"
"Walkability-*Noise","Sims_Mod_54","Transportation","gray","Economic wellbeing",-0.038,-3.8,"human"
"Industrial->Water temperature","Sims_Mod_55","Transportation","gray","Economic wellbeing",0,0,"human"
"Toxics-*Biodiversity","Sims_Mod_56","Transportation","gray","Economic wellbeing",-0.068,-6.8,"human"
"Noise-*Physical health","Sims_Mod_57","Transportation","gray","Economic wellbeing",-0.00599999999999998,-0.599999999999998,"human"
"Access to nature->Mental health","Sims_Mod_58","Transportation","gray","Economic wellbeing",-0.02,-2,"human"
"Local foods->Affordability","Sims_Mod_59","Transportation","gray","Economic wellbeing",0.012,1.2,"human"
"Water temperature-*Water quality","Sims_Mod_60","Transportation","gray","Economic wellbeing",0.16,16,"human"
"Bacteria-*Water quality","Sims_Mod_61","Transportation","gray","Economic wellbeing",-0.058,-5.8,"human"
"Bacteria-*Local foods","Sims_Mod_62","Transportation","gray","Economic wellbeing",-0.018,-1.8,"human"
"Walkability->Physical health","Sims_Mod_63","Transportation","gray","Economic wellbeing",-0.00799999999999998,-0.799999999999998,"human"
"Flooding-*Property value","Sims_Mod_64","Transportation","gray","Economic wellbeing",-0.038,-3.8,"human"
"Property value-*Affordability","Sims_Mod_65","Transportation","gray","Economic wellbeing",0.022,2.2,"human"
"Noise-*Property value","Sims_Mod_66","Transportation","gray","Economic wellbeing",0.022,2.2,"human"
"Access to nature->Property value","Sims_Mod_67","Transportation","gray","Economic wellbeing",-0.03,-3,"human"
"Industrial-*Property value","Sims_Mod_68","Transportation","gray","Economic wellbeing",-0.02,-2,"human"
"Transportation->Property value","Sims_Mod_69","Transportation","gray","Economic wellbeing",0.002,0.2,"human"
"Walkability->Property value","Sims_Mod_70","Transportation","gray","Economic wellbeing",-0.038,-3.8,"human"
"Property value->Economic wellbeing","Sims_Mod_71","Transportation","gray","Economic wellbeing",-0.036,-3.6,"human"
"Local jobs->Property value","Sims_Mod_72","Transportation","gray","Economic wellbeing",0.012,1.2,"human"
"Gray infrastructure-*Flooding","Sims_Mod_73","Transportation","gray","Economic wellbeing",-0.41,-41,"human"
"Gray infrastructure-*Sediment","Sims_Mod_74","Transportation","gray","Economic wellbeing",-0.086,-8.6,"human"
"Gray infrastructure-*Toxics","Sims_Mod_75","Transportation","gray","Economic wellbeing",-0.202,-20.2,"human"
"Green infrastructure-*Toxics","Sims_Mod_76","Transportation","gray","Economic wellbeing",-0.012,-1.2,"human"
"Green infrastructure->Access to nature","Sims_Mod_77","Transportation","gray","Economic wellbeing",-0.022,-2.2,"human"
"Green infrastructure->Climate mitigation","Sims_Mod_78","Transportation","gray","Economic wellbeing",-0.022,-2.2,"human"
"Green infrastructure-*Noise","Sims_Mod_79","Transportation","gray","Economic wellbeing",-0.024,-2.4,"human"
"Gray infrastructure->Local jobs","Sims_Mod_80","Transportation","gray","Economic wellbeing",-0.04,-4,"human"
"Green infrastructure->Local jobs","Sims_Mod_81","Transportation","gray","Economic wellbeing",-0.02,-2,"human"
"Source control-*Toxics","Sims_Mod_82","Transportation","gray","Economic wellbeing",-0.014,-1.4,"human"
"Green infrastructure-*Flooding","Sims_Mod_83","Transportation","gray","Economic wellbeing",0.016,1.6,"human"
"Green infrastructure->Air quality","Sims_Mod_84","Transportation","gray","Economic wellbeing",-0.044,-4.4,"human"
"Green infrastructure-*Urban heat island","Sims_Mod_85","Transportation","gray","Economic wellbeing",0.004,0.4,"human"
"Toxics-*Salmon","Sims_Mod_86","Transportation","gray","Economic wellbeing",-0.07,-7,"human"
"Noise-*Mental health","Sims_Mod_87","Transportation","gray","Economic wellbeing",-0.016,-1.6,"human"
"Urban heat island->Water temperature","Sims_Mod_88","Transportation","gray","Economic wellbeing",0.046,4.6,"human"
"Economic wellbeing->Mental health","Sims_Mod_89","Transportation","gray","Economic wellbeing",-0.052,-5.2,"human"
"Biodiversity->Local foods","Sims_Mod_90","Transportation","gray","Economic wellbeing",0.022,2.2,"human"
"Local jobs->Social cohesion","Sims_Mod_91","Transportation","gray","Economic wellbeing",-0.024,-2.4,"human"
"Access to nature->Local foods","Sims_Mod_92","Transportation","gray","Economic wellbeing",-0.04,-4,"human"
"Local foods->Mental health","Sims_Mod_93","Transportation","gray","Economic wellbeing",-0.016,-1.6,"human"
"Noise-*Social cohesion","Sims_Mod_94","Transportation","gray","Economic wellbeing",0.012,1.2,"human"
"Industrial-*Air quality","Sims_Mod_95","Transportation","gray","Economic wellbeing",-0.028,-2.8,"human"
"Industrial->Local jobs","Sims_Mod_96","Transportation","gray","Economic wellbeing",0.004,0.4,"human"
"Climate mitigation-*Urban heat island","Sims_Mod_97","Transportation","gray","Economic wellbeing",-0.058,-5.8,"human"
"Industrial->Urban heat island","Sims_Mod_98","Transportation","gray","Economic wellbeing",-0.00199999999999997,-0.199999999999997,"human"
"Transportation->Urban heat island","Sims_Mod_99","Transportation","gray","Economic wellbeing",0.12,12,"human"
"Green infrastructure-*Sediment","Sims_Mod_100","Transportation","gray","Economic wellbeing",-0.03,-3,"human"
"Physical health->Mental health","Sims_Mod_101","Transportation","gray","Economic wellbeing",-0.014,-1.4,"human"
"Salmon->Biodiversity","Sims_Mod_102","Transportation","gray","Economic wellbeing",-0.00599999999999998,-0.599999999999998,"human"
"Physical health->Economic wellbeing","Sims_Mod_103","Transportation","gray","Economic wellbeing",-0.032,-3.2,"human"
"Economic wellbeing->Affordability","Sims_Mod_104","Transportation","gray","Economic wellbeing",-0.03,-3,"human"
"Mental health->Economic wellbeing","Sims_Mod_105","Transportation","gray","Economic wellbeing",-0.016,-1.6,"human"
"Residential->Toxics","Sims_Mod_1","Transportation","green","Economic wellbeing",-0.01,-1,"human"
"Industrial->Toxics","Sims_Mod_2","Transportation","green","Economic wellbeing",0.032,3.2,"human"
"Transportation->Toxics","Sims_Mod_3","Transportation","green","Economic wellbeing",0.15,15,"human"
"Transportation->Water temperature","Sims_Mod_4","Transportation","green","Economic wellbeing",0.098,9.8,"human"
"Transportation->Flooding","Sims_Mod_5","Transportation","green","Economic wellbeing",0.264,26.4,"human"
"Residential->Nutrients","Sims_Mod_6","Transportation","green","Economic wellbeing",0.036,3.6,"human"
"Residential->Sediment","Sims_Mod_7","Transportation","green","Economic wellbeing",0.016,1.6,"human"
"Residential->Bacteria","Sims_Mod_8","Transportation","green","Economic wellbeing",0.032,3.2,"human"
"Industrial->Sediment","Sims_Mod_9","Transportation","green","Economic wellbeing",0.044,4.4,"human"
"Industrial->Flooding","Sims_Mod_10","Transportation","green","Economic wellbeing",0.046,4.6,"human"
"Flooding->Bacteria","Sims_Mod_11","Transportation","green","Economic wellbeing",0.1,10,"human"
"Flooding-*Salmon","Sims_Mod_12","Transportation","green","Economic wellbeing",0.04,4,"human"
"Water quality->Salmon","Sims_Mod_13","Transportation","green","Economic wellbeing",0.106,10.6,"human"
"Air quality->Physical health","Sims_Mod_14","Transportation","green","Economic wellbeing",0.02,2,"human"
"Urban heat island-*Physical health","Sims_Mod_15","Transportation","green","Economic wellbeing",0.034,3.4,"human"
"Nutrients-*Water quality","Sims_Mod_16","Transportation","green","Economic wellbeing",0.02,2,"human"
"Flooding->Sediment","Sims_Mod_17","Transportation","green","Economic wellbeing",0.058,5.8,"human"
"Sediment-*Water quality","Sims_Mod_18","Transportation","green","Economic wellbeing",0.024,2.4,"human"
"Mental health->Physical health","Sims_Mod_19","Transportation","green","Economic wellbeing",0.054,5.4,"human"
"Water quality->Physical health","Sims_Mod_20","Transportation","green","Economic wellbeing",0.062,6.2,"human"
"Social cohesion->Mental health","Sims_Mod_21","Transportation","green","Economic wellbeing",0.036,3.6,"human"
"Toxics-*Physical health","Sims_Mod_22","Transportation","green","Economic wellbeing",0.028,2.8,"human"
"Biodiversity->Salmon","Sims_Mod_23","Transportation","green","Economic wellbeing",0.058,5.8,"human"
"Urban heat island-*Biodiversity","Sims_Mod_24","Transportation","green","Economic wellbeing",0.058,5.8,"human"
"Bacteria-*Physical health","Sims_Mod_25","Transportation","green","Economic wellbeing",0.076,7.6,"human"
"Air quality->Social cohesion","Sims_Mod_26","Transportation","green","Economic wellbeing",0.086,8.6,"human"
"Access to nature->Social cohesion","Sims_Mod_27","Transportation","green","Economic wellbeing",0.046,4.6,"human"
"Transportation->Noise","Sims_Mod_28","Transportation","green","Economic wellbeing",0.1,10,"human"
"Water quality->Biodiversity","Sims_Mod_29","Transportation","green","Economic wellbeing",0.05,5,"human"
"Noise-*Biodiversity","Sims_Mod_30","Transportation","green","Economic wellbeing",0.04,4,"human"
"Salmon->Physical health","Sims_Mod_31","Transportation","green","Economic wellbeing",0.042,4.2,"human"
"Climate mitigation->Salmon","Sims_Mod_32","Transportation","green","Economic wellbeing",0.042,4.2,"human"
"Climate mitigation-*Water temperature","Sims_Mod_33","Transportation","green","Economic wellbeing",0.03,3,"human"
"Climate mitigation->Biodiversity","Sims_Mod_34","Transportation","green","Economic wellbeing",-0.00800000000000001,-0.800000000000001,"human"
"Access to nature->Physical health","Sims_Mod_35","Transportation","green","Economic wellbeing",0.002,0.2,"human"
"Flooding-*Air quality","Sims_Mod_36","Transportation","green","Economic wellbeing",-0.002,-0.2,"human"
"Industrial->Noise","Sims_Mod_37","Transportation","green","Economic wellbeing",0.084,8.4,"human"
"Transportation-*Air quality","Sims_Mod_38","Transportation","green","Economic wellbeing",0.094,9.4,"human"
"Economic wellbeing->Physical health","Sims_Mod_39","Transportation","green","Economic wellbeing",0.022,2.2,"human"
"Affordability->Economic wellbeing","Sims_Mod_40","Transportation","green","Economic wellbeing",0.046,4.6,"human"
"Access to nature-*Affordability","Sims_Mod_41","Transportation","green","Economic wellbeing",0.018,1.8,"human"
"Local foods->Social cohesion","Sims_Mod_42","Transportation","green","Economic wellbeing",0.062,6.2,"human"
"Salmon->Local foods","Sims_Mod_43","Transportation","green","Economic wellbeing",0.076,7.6,"human"
"Water quality->Local foods","Sims_Mod_44","Transportation","green","Economic wellbeing",0.088,8.8,"human"
"Toxics-*Water quality","Sims_Mod_45","Transportation","green","Economic wellbeing",0.072,7.2,"human"
"Local foods->Physical health","Sims_Mod_46","Transportation","green","Economic wellbeing",0,0,"human"
"Water quality->Social cohesion","Sims_Mod_47","Transportation","green","Economic wellbeing",0.07,7,"human"
"Local jobs->Economic wellbeing","Sims_Mod_48","Transportation","green","Economic wellbeing",0.032,3.2,"human"
"Walkability->Climate mitigation","Sims_Mod_49","Transportation","green","Economic wellbeing",-0.106,-10.6,"human"
"Walkability->Affordability","Sims_Mod_50","Transportation","green","Economic wellbeing",0.06,6,"human"
"Access to nature->Walkability","Sims_Mod_51","Transportation","green","Economic wellbeing",-0.104,-10.4,"human"
"Walkability->Social cohesion","Sims_Mod_52","Transportation","green","Economic wellbeing",0.024,2.4,"human"
"Walkability->Air quality","Sims_Mod_53","Transportation","green","Economic wellbeing",0.078,7.8,"human"
"Walkability-*Noise","Sims_Mod_54","Transportation","green","Economic wellbeing",0.042,4.2,"human"
"Industrial->Water temperature","Sims_Mod_55","Transportation","green","Economic wellbeing",-0.016,-1.6,"human"
"Toxics-*Biodiversity","Sims_Mod_56","Transportation","green","Economic wellbeing",0.05,5,"human"
"Noise-*Physical health","Sims_Mod_57","Transportation","green","Economic wellbeing",0.08,8,"human"
"Access to nature->Mental health","Sims_Mod_58","Transportation","green","Economic wellbeing",0.00800000000000001,0.800000000000001,"human"
"Local foods->Affordability","Sims_Mod_59","Transportation","green","Economic wellbeing",0.038,3.8,"human"
"Water temperature-*Water quality","Sims_Mod_60","Transportation","green","Economic wellbeing",0.048,4.8,"human"
"Bacteria-*Water quality","Sims_Mod_61","Transportation","green","Economic wellbeing",0.096,9.6,"human"
"Bacteria-*Local foods","Sims_Mod_62","Transportation","green","Economic wellbeing",0.04,4,"human"
"Walkability->Physical health","Sims_Mod_63","Transportation","green","Economic wellbeing",0.072,7.2,"human"
"Flooding-*Property value","Sims_Mod_64","Transportation","green","Economic wellbeing",0.088,8.8,"human"
"Property value-*Affordability","Sims_Mod_65","Transportation","green","Economic wellbeing",0.088,8.8,"human"
"Noise-*Property value","Sims_Mod_66","Transportation","green","Economic wellbeing",0.086,8.6,"human"
"Access to nature->Property value","Sims_Mod_67","Transportation","green","Economic wellbeing",-0.002,-0.2,"human"
"Industrial-*Property value","Sims_Mod_68","Transportation","green","Economic wellbeing",0.028,2.8,"human"
"Transportation->Property value","Sims_Mod_69","Transportation","green","Economic wellbeing",0.056,5.6,"human"
"Walkability->Property value","Sims_Mod_70","Transportation","green","Economic wellbeing",0.09,9,"human"
"Property value->Economic wellbeing","Sims_Mod_71","Transportation","green","Economic wellbeing",0.01,1,"human"
"Local jobs->Property value","Sims_Mod_72","Transportation","green","Economic wellbeing",0.036,3.6,"human"
"Gray infrastructure-*Flooding","Sims_Mod_73","Transportation","green","Economic wellbeing",0.05,5,"human"
"Gray infrastructure-*Sediment","Sims_Mod_74","Transportation","green","Economic wellbeing",-0.022,-2.2,"human"
"Gray infrastructure-*Toxics","Sims_Mod_75","Transportation","green","Economic wellbeing",0.00800000000000001,0.800000000000001,"human"
"Green infrastructure-*Toxics","Sims_Mod_76","Transportation","green","Economic wellbeing",-0.012,-1.2,"human"
"Green infrastructure->Access to nature","Sims_Mod_77","Transportation","green","Economic wellbeing",-0.158,-15.8,"human"
"Green infrastructure->Climate mitigation","Sims_Mod_78","Transportation","green","Economic wellbeing",-0.07,-7,"human"
"Green infrastructure-*Noise","Sims_Mod_79","Transportation","green","Economic wellbeing",-0.01,-1,"human"
"Gray infrastructure->Local jobs","Sims_Mod_80","Transportation","green","Economic wellbeing",0.048,4.8,"human"
"Green infrastructure->Local jobs","Sims_Mod_81","Transportation","green","Economic wellbeing",0.064,6.4,"human"
"Source control-*Toxics","Sims_Mod_82","Transportation","green","Economic wellbeing",0.046,4.6,"human"
"Green infrastructure-*Flooding","Sims_Mod_83","Transportation","green","Economic wellbeing",-0.068,-6.8,"human"
"Green infrastructure->Air quality","Sims_Mod_84","Transportation","green","Economic wellbeing",0.052,5.2,"human"
"Green infrastructure-*Urban heat island","Sims_Mod_85","Transportation","green","Economic wellbeing",0.018,1.8,"human"
"Toxics-*Salmon","Sims_Mod_86","Transportation","green","Economic wellbeing",0.03,3,"human"
"Noise-*Mental health","Sims_Mod_87","Transportation","green","Economic wellbeing",0.07,7,"human"
"Urban heat island->Water temperature","Sims_Mod_88","Transportation","green","Economic wellbeing",0.012,1.2,"human"
"Economic wellbeing->Mental health","Sims_Mod_89","Transportation","green","Economic wellbeing",0.078,7.8,"human"
"Biodiversity->Local foods","Sims_Mod_90","Transportation","green","Economic wellbeing",0.07,7,"human"
"Local jobs->Social cohesion","Sims_Mod_91","Transportation","green","Economic wellbeing",0.042,4.2,"human"
"Access to nature->Local foods","Sims_Mod_92","Transportation","green","Economic wellbeing",0.05,5,"human"
"Local foods->Mental health","Sims_Mod_93","Transportation","green","Economic wellbeing",-0.004,-0.4,"human"
"Noise-*Social cohesion","Sims_Mod_94","Transportation","green","Economic wellbeing",0.048,4.8,"human"
"Industrial-*Air quality","Sims_Mod_95","Transportation","green","Economic wellbeing",0.032,3.2,"human"
"Industrial->Local jobs","Sims_Mod_96","Transportation","green","Economic wellbeing",0.054,5.4,"human"
"Climate mitigation-*Urban heat island","Sims_Mod_97","Transportation","green","Economic wellbeing",-0.05,-5,"human"
"Industrial->Urban heat island","Sims_Mod_98","Transportation","green","Economic wellbeing",0.07,7,"human"
"Transportation->Urban heat island","Sims_Mod_99","Transportation","green","Economic wellbeing",0.162,16.2,"human"
"Green infrastructure-*Sediment","Sims_Mod_100","Transportation","green","Economic wellbeing",-0.03,-3,"human"
"Physical health->Mental health","Sims_Mod_101","Transportation","green","Economic wellbeing",0.066,6.6,"human"
"Salmon->Biodiversity","Sims_Mod_102","Transportation","green","Economic wellbeing",0.022,2.2,"human"
"Physical health->Economic wellbeing","Sims_Mod_103","Transportation","green","Economic wellbeing",0.022,2.2,"human"
"Economic wellbeing->Affordability","Sims_Mod_104","Transportation","green","Economic wellbeing",0.072,7.2,"human"
"Mental health->Economic wellbeing","Sims_Mod_105","Transportation","green","Economic wellbeing",0.026,2.6,"human"
"Residential->Toxics","Sims_Mod_1","Transportation","source","Flooding",0,0,"stressor"
"Industrial->Toxics","Sims_Mod_2","Transportation","source","Flooding",0,0,"stressor"
"Transportation->Toxics","Sims_Mod_3","Transportation","source","Flooding",0,0,"stressor"
"Transportation->Water temperature","Sims_Mod_4","Transportation","source","Flooding",0,0,"stressor"
"Transportation->Flooding","Sims_Mod_5","Transportation","source","Flooding",-1,-100,"stressor"
"Residential->Nutrients","Sims_Mod_6","Transportation","source","Flooding",0,0,"stressor"
"Residential->Sediment","Sims_Mod_7","Transportation","source","Flooding",0,0,"stressor"
"Residential->Bacteria","Sims_Mod_8","Transportation","source","Flooding",0,0,"stressor"
"Industrial->Sediment","Sims_Mod_9","Transportation","source","Flooding",0,0,"stressor"
"Industrial->Flooding","Sims_Mod_10","Transportation","source","Flooding",0,0,"stressor"
"Flooding->Bacteria","Sims_Mod_11","Transportation","source","Flooding",0,0,"stressor"
"Flooding-*Salmon","Sims_Mod_12","Transportation","source","Flooding",0,0,"stressor"
"Water quality->Salmon","Sims_Mod_13","Transportation","source","Flooding",0,0,"stressor"
"Air quality->Physical health","Sims_Mod_14","Transportation","source","Flooding",0,0,"stressor"
"Urban heat island-*Physical health","Sims_Mod_15","Transportation","source","Flooding",0,0,"stressor"
"Nutrients-*Water quality","Sims_Mod_16","Transportation","source","Flooding",0,0,"stressor"
"Flooding->Sediment","Sims_Mod_17","Transportation","source","Flooding",0,0,"stressor"
"Sediment-*Water quality","Sims_Mod_18","Transportation","source","Flooding",0,0,"stressor"
"Mental health->Physical health","Sims_Mod_19","Transportation","source","Flooding",0,0,"stressor"
"Water quality->Physical health","Sims_Mod_20","Transportation","source","Flooding",0,0,"stressor"
"Social cohesion->Mental health","Sims_Mod_21","Transportation","source","Flooding",0,0,"stressor"
"Toxics-*Physical health","Sims_Mod_22","Transportation","source","Flooding",0,0,"stressor"
"Biodiversity->Salmon","Sims_Mod_23","Transportation","source","Flooding",0,0,"stressor"
"Urban heat island-*Biodiversity","Sims_Mod_24","Transportation","source","Flooding",0,0,"stressor"
"Bacteria-*Physical health","Sims_Mod_25","Transportation","source","Flooding",0,0,"stressor"
"Air quality->Social cohesion","Sims_Mod_26","Transportation","source","Flooding",0,0,"stressor"
"Access to nature->Social cohesion","Sims_Mod_27","Transportation","source","Flooding",0,0,"stressor"
"Transportation->Noise","Sims_Mod_28","Transportation","source","Flooding",0,0,"stressor"
"Water quality->Biodiversity","Sims_Mod_29","Transportation","source","Flooding",0,0,"stressor"
"Noise-*Biodiversity","Sims_Mod_30","Transportation","source","Flooding",0,0,"stressor"
"Salmon->Physical health","Sims_Mod_31","Transportation","source","Flooding",0,0,"stressor"
"Climate mitigation->Salmon","Sims_Mod_32","Transportation","source","Flooding",0,0,"stressor"
"Climate mitigation-*Water temperature","Sims_Mod_33","Transportation","source","Flooding",0,0,"stressor"
"Climate mitigation->Biodiversity","Sims_Mod_34","Transportation","source","Flooding",0,0,"stressor"
"Access to nature->Physical health","Sims_Mod_35","Transportation","source","Flooding",0,0,"stressor"
"Flooding-*Air quality","Sims_Mod_36","Transportation","source","Flooding",0,0,"stressor"
"Industrial->Noise","Sims_Mod_37","Transportation","source","Flooding",0,0,"stressor"
"Transportation-*Air quality","Sims_Mod_38","Transportation","source","Flooding",0,0,"stressor"
"Economic wellbeing->Physical health","Sims_Mod_39","Transportation","source","Flooding",0,0,"stressor"
"Affordability->Economic wellbeing","Sims_Mod_40","Transportation","source","Flooding",0,0,"stressor"
"Access to nature-*Affordability","Sims_Mod_41","Transportation","source","Flooding",0,0,"stressor"
